Date,State,District,Mandi,Commodity,Variety,Min Price,Max Price,Modal Price,Unit,Arrival Quantity,Grade,Market Fee (%),Trader Count
1/23/2024,Gujarat,Ahmedabad,Main Mandi,Rice,Kolam,1051,1163,1090,Quintal,97.71,C,1.84,8
3/14/2024,Karnataka,Bangalore,Agro Market,Maize,White,1087,1382,1270.5,Quintal,31.89,B,1.48,10
5/23/2024,Maharashtra,Nashik,Agro Market,Wheat,Sharbati,984,1154,1049,Quintal,43.95,C,1.18,15
5/6/2024,Gujarat,Ahmedabad,Main Mandi,Potato,Kufri Jyoti,897,1216,1014.5,Quintal,45.7,B,2.96,14
1/30/2024,Gujarat,Surat,Wholesale Yard,Wheat,Sharbati,973,1140,1012.5,Quintal,82.24,B,1.46,5
6/11/2024,Gujarat,Ahmedabad,Sub Mandi,Wheat,Lokwan,849,1045,936,Quintal,36.96,A,1.9,13
5/25/2024,Maharashtra,Pune,Agro Market,Onion,Red,904,1183,998.5,Quintal,98.99,B,2.56,2
4/12/2024,Punjab,Patiala,Agro Market,Tomato,Desi,839,1118,996.5,Quintal,39.62,B,1.17,14
5/28/2024,Gujarat,Surat,Sub Mandi,Sugarcane,CO 0238,831,1227,1051,Quintal,74.03,C,1.54,8
3/6/2024,Gujarat,Ahmedabad,Wholesale Yard,Tomato,Desi,1075,1454,1287.5,Quintal,33.78,B,2.49,15
4/22/2024,Gujarat,Vadodara,Agro Market,Onion,Red,882,1200,1055,Quintal,88.83,C,1.46,5
2/6/2024,Punjab,Patiala,Sub Mandi,Potato,Kufri Jyoti,1152,1322,1275,Quintal,86.36,A,2.97,13
3/31/2024,Maharashtra,Nashik,Sub Mandi,Potato,Chipsona,1096,1361,1216.5,Quintal,70.21,C,2.01,15
5/7/2024,Punjab,Amritsar,Wholesale Yard,Tomato,Hybrid,1041,1271,1111,Quintal,68.21,A,2.93,3
